Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2018-11-01,2111.0,2513.25,2075.0,2098.85,2094.4,157135,334954536.65,4494.0,2030.1,2131.64,127815,81.34,EQ
2018-11-02,2120.05,2154.0,2120.05,2140.3,2098.85,79847,170328049.25,4494.0,2030.1,2133.18,66240,82.96,EQ
2018-11-05,2132.9,2175.0,2130.1,2149.8,2140.3,13162,28262647.35,4494.0,2030.1,2147.29,7990,60.71,EQ
2018-11-06,2160.0,2162.3,2120.15,2124.45,2149.8,12575,26903322.2,4494.0,2030.1,2139.43,7864,62.54,EQ
2018-11-07,2179.0,2190.0,2120.0,2136.25,2124.45,4281,9230043.5,4494.0,2030.1,2156.05,2532,59.15,EQ
2018-11-09,2153.35,2153.35,2103.0,2140.6,2136.25,7804,16668144.8,4494.0,2030.1,2135.85,4209,53.93,EQ
2018-11-12,2150.0,2160.15,2125.0,2142.2,2140.6,14145,30292223.8,4494.0,2030.1,2141.55,9327,65.94,EQ
2018-11-13,2140.0,2145.0,2105.1,2116.35,2142.2,5074,10766994.35,4494.0,2030.1,2121.99,2303,45.39,EQ
2018-11-14,2126.0,2130.0,2090.0,2104.5,2116.35,32526,68453112.35,4494.0,2030.1,2104.57,27286,83.89,EQ
2018-11-15,2100.0,2107.9,2050.0,2055.7,2104.5,8453,17471337.25,4494.0,2030.1,2066.88,5118,60.55,EQ
2018-11-16,2085.0,2085.0,1990.0,1994.1,2055.7,37639,75523605.95,4494.0,1990.0,2006.53,22422,59.57,EQ
2018-11-19,2040.0,2055.95,1994.1,2049.05,1994.1,44200,90373916.7,4494.0,1990.0,2044.66,34815,78.77,EQ
2018-11-20,2053.05,2055.0,2001.0,2033.5,2049.05,8641,17497959.7,4494.0,1990.0,2024.99,5078,58.77,EQ
